Ramal;Arrecadado;Grupo;Endereço;Numero
712183;134,48;8;Av.. Cristovao Colombo, 2491, Auxiliadora, 90560-005;2491
725560;136,64;6;R.. Dona Laura, 45, Rio Branco, 90430-091;45
729493;312,80;6;R.. Dona Laura, 307, Rio Branco, 90430-091;307
730416;793,58;6;R.. Cel Bordini, 657, Moinhos Vento, 90440-001;657
734578;4.816,89;6;Av.. Goethe, 140, Rio Branco, 90430-100;140
737895;2.512,02;6;R.. Dr Barros Cassal, 734, Bom fim, 90035-030;734
741043;3.620,17;6;R.. Gen Joao Telles, 508, Bom fim, 90035-120;508
741736;3.283,21;6;Av.. Osvaldo Aranha, 990, Bom fim, 90035-191;990
742511;574,01;6;R.. Vasco da Gama, 279, Bom fim, 90420-111;279
747173;891,62;6;R.. Mariante, 691, Rio Branco, 90430-181;691
757330;1.880,96;7;R.. Des Espiridiao l Medeiros, 389, Tres Figueiras, 91330-020;389
763608;50.458,91;7;R.. Carlos Huber, 215, Tres Figueiras, 91330-150;215
764566;1.112,68;7;R.. Joao Paetzel, 306, Chacara Pedras, 91330-280;306
782580;372,01;7;Av.. Gen Barreto Viana, 71, Vila Jardim, 91330-630;71
806463;488,49;7;Av.. Protasio Alves, 7248, Jardim Sabara, 91310-001;7248
821870;693,59;7;Trav.. Encruzilhada, 91, Bom Jesus, 91420-420;91
840246;1.326,31;7;R.. Bom Jesus, 622, Bom Jesus, 91420-030;622
900281;943,95;8;R.. Pedro ivo, 757, Bela Vista, 90450-210;757
905330;381,31;8;R.. Vicente da Fontoura, 2625, Petropolis, 90460-019;2625
908517;146,33;8;Av.. Protasio Alves, 493, Santa Cecilia, 90410-000;493
914266;1.111,46;8;R.. Vicente da Fontoura, 2323, Petropolis, 90630-088;2323
922641;260,76;8;Av.. Montenegro, 380, Petropolis, 90460-160;380
923699;714,95;8;Av.. Ijui, 641, Petropolis, 90460-200;641
928275;737,72;8;R.. Joao Abbott, 12, Petropolis, 90460-150;12
931195;652,43;8;R.. Amelia Teles, 68, Petropolis, 90460-070;68
932671;2.634,26;8;Av.. Taquara, 163, Petropolis, 90460-210;163
935182;438,33;8;Av.. Iguassu, 321, Petropolis, 90470-430;321
939439;868,50;8;R.. Vitor Hugo, 25, Petropolis, 90630-070;25
948969;908,55;8;R.. Felizardo, 268, Petropolis, 90690-200;268
949841;494,94;8;R.. Barao do Amazonas, 827, Jardim Botanico, 90670-004;827
958069;603,59;8;R.. Sacadura Cabral, 214, Petropolis, 90690-420;214
969850;3.077,22;8;R.. Isidoro Tressi, 365, Jardim Botanico, 90690-070;365
972282;1.302,05;9;Av.. Joao Pessoa, 1048, Farroupilha, 90040-000;1048
972355;1.542,63;9;Av.. Jose Bonifacio, 77, Farroupilha, 90040-130;77
973920;30,02;9;R.. Santana, 129, Santana, 90040-372;129
983128;472,48;9;R.. Santana, 778, Santana, 90040-371;778
989576;641,07;8;R.. Sao Francisco, 36, Santana, 90620-070;36
990850;146,33;8;R.. Vicente da Fontoura, 1522, Santana, 90640-002;1522
992763;365,98;8;R.. Livramento, 719, Santana, 90640-130;719
993700;992,78;8;Av.. Ipiranga, 3373, Partenon, 90610-001;3373
995843;945,21;8;R.. Sao Francisco, 429, Santana, 90620-070;429
996025;163,66;8;R.. Vicente da Fontoura, 1332, Santana, 90620-132;1332
1004026;324,54;9;R.. Domingos Crescencio, 216, Santana, 90650-090;216
1006487;7.917,70;9;R.. Celeste Gobbato, 218, Praia de Belas, 90110-160;218
1007270;951,24;9;R.. Gen Lima e Silva, 286, Cidade Baixa, 90050-100;286
1008226;645,40;9;R.. da Republica, 65, Cidade Baixa, 90050-321;65
1011855;94,10;9;R.. Jose do Patrocinio, 592, Cidade Baixa, 90050-002;592
1011863;179,66;9;R.. Jose do Patrocinio, 588, Cidade Baixa, 90050-002;588
1018264;5.402,54;9;R.. Luiz Afonso, 465, Cidade Baixa, 90050-310;465
1020439;806,61;9;R.. Jose do Patrocinio, 827, Cidade Baixa, 90050-003;827
1021362;1.386,77;9;Pca.. Garibaldi, 88, Cidade Baixa, 90050-020;88
1021770;145,44;9;Av.. Aureliano de Figueiredo Pinto, 872, Cidade Baixa, 90050-190;872
1023110;375,64;9;R.. Joao Alfredo, 299, Cidade Baixa, 90050-230;299
1030337;405,96;9;Av.. Aureliano de Figueiredo Pinto, 473, Menino Deus, 90050-191;473
1030434;842,63;9;R.. Barao do Gravatai, 322, Menino Deus, 90050-330;322
1033964;856,85;9;R.. Cel Andre Belo, 584, Menino Deus, 90110-020;584
1036807;1.203,85;9;Av.. Getulio Vargas, 525, Menino Deus, 90150-003;525
1038036;4.221,16;9;Av.. Getulio Vargas, 627, Menino Deus, 90150-003;627
1048716;60,06;9;R.. Gen Caldwell, 742, Menino Deus, 90130-050;742
1056182;586,80;9;R.. Prof Freitas e Castro, 353, Azenha, 90040-400;353
1057030;411,85;9;R.. Marcilio Dias, 1280, Azenha, 90130-000;1280
1058517;278,95;9;R.. Marcilio Dias, 1481, Azenha, 90130-001;1481
1065343;2.233,01;9;Av.. Prof Oscar Pereira, 62, Azenha, 90640-070;62
1069667;418,50;9;Av.. Bento Goncalves, 597, Santo Antonio, 90650-002;597
1070797;1.691,04;9;R.. Guilherme Schell, 134, Santo Antonio, 90640-040;134
1072889;30,02;9;Av.. Bento Goncalves, 1005, Santo Antonio, 90650-002;1005
1083830;253,90;10;R.. Euclydes da Cunha, 13, Partenon, 90620-220;13
1085980;837,94;10;R.. Verissimo Rosa, 88, Partenon, 90610-280;88
1088629;258,47;10;Av.. Bento Goncalves, 1998, Partenon, 90650-000;1998
1089447;11.230,58;10;Av.. Bento Goncalves, 1329, Santo Antonio, 90650-002;1329
1090275;1.817,86;10;Av.. Bento Goncalves, 1809, Santo Antonio, 90650-002;1809
1091611;282,50;10;Av.. Bento Goncalves, 2095, Partenon, 90650-002;2095
1094637;1.796,79;10;Av.. Bento Goncalves, 2149, Partenon, 90650-002;2149
1107399;228,37;9;R.. Dona Cecilia, 95, Azenha, 90880-450;95
1107631;558,91;9;Av.. da Azenha, 1552, Azenha, 90160-007;1552
1107763;30,08;9;Av.. da Azenha, 1464, Azenha, 90160-007;1464
1109707;480,35;9;Av.. Porto Alegre, 236, Azenha, 90880-130;236
1113895;393,66;9;Av.. Dr Carlos Barbosa, 980, Medianeira, 90880-000;980
1114484;250,82;9;Av.. Porto Alegre, 25, Medianeira, 90880-130;25
1136445;289,47;10;R.. Licio Cavalheiro, 114, Partenon, 90610-150;114
1137778;1.234,03;10;Av.. dos Cubanos, 266, Partenon, 91530-040;266
1138499;562,38;10;R.. Frei Germano, 185, Partenon, 91530-060;185
1140035;68,44;10;Av.. Bento Goncalves, 5368, Partenon, 91540-000;5368
1140493;59,88;10;R.. Prof Guerreiro Lima, 73, Partenon, 91530-190;73
1143905;110,01;10;Av.. Ipiranga, 8447, Partenon, 91530-001;8447
1144235;2.408,89;10;R.. Capitao Pedro Werlang, 800, Partenon, 91530-110;800
1152386;1.255,01;11;R.. Angelo Barcelos, 525, Vl Joao Pessoa, 91520-020;525
1163167;210,86;11;R.. Primeiro de Marco, 458, Vila sao Jose, 91520-620;458
1176811;304,54;11;R.. Primeiro de Marco, 849, Vila sao Jose, 91520-620;849
1192604;0,00;11;R.. Ernesto Araujo, 270, Vila sao Jose, 91520-001;270
1203169;820,73;10;Av.. Bento Goncalves, 6117, Partenon, 91540-000;6117
1203770;247,29;10;R.. Rafael Clark, 153, Partenon, 91530-620;153
1208837;690,72;10;R.. Mario Marassa, 60, Partenon, 91530-550;60
1212796;361,24;10;Estr.. Sao Francisco, 1180, Lomba Pinheiro, 91550-250;1180
1213326;786,54;10;Estr.. Sao Francisco, 292, Lomba Pinheiro, 91550-250;292
1213652;408,41;10;Estr.. Sao Francisco, 706, Lomba Pinheiro, 91550-250;706
1227920;148,40;10;R.. Antonio Jose de Santana, 95, Lomba Pinheiro, 91540-180;95
1247077;1.181,75;10;Estr.. Joao de Oliveira Remiao, 5211, Lomba Pinheiro, 91560-000;5211
1251082;250,82;10;Av.. Deputado Adao Pretto, 4868, Lomba Pinheiro, 91570-730;4868
1290002;307,15;11;R.. Ten Camargo, 120, Cel ap Borges, 91510-400;120
1291491;234,13;11;R.. Dr Manoel Jose Lopes Fernandes, 118, Vl Joao Pessoa, 91510-;118
1299581;275,23;11;Av.. Bento Goncalves, 3223, Partenon, 90650-003;3223
1300628;537,95;11;R.. Ten Alpoim, 149, Partenon, 91510-710;149
1302213;269,10;11;Av.. Veiga, 371, Cel ap Borges, 91510-120;371
1318918;3.486,50;12;R.. Sao Miguel, 227, Gloria, 91710-330;227
1330322;376,84;12;Av.. Prof Oscar Pereira, 3696, Gloria, 91710-000;3696
1341340;138,56;12;Estr.. dos Barcellos, 377, Cascata, 91712-300;377
1346520;1.150,27;12;Estr.. dos Barcellos, 648, Cascata, 91712-300;648
1359096;940,12;12;Av.. Teresopolis, 2645, Teresopolis, 90870-001;2645
1367811;531,53;12;R.. Anchieta, 449, Gloria, 90870-010;449
1370499;283,31;12;Av.. Cel Aparicio Borges, 417, Gloria, 90680-570;417
1377353;368,37;12;Av.. Prof Oscar Pereira, 3771, Gloria, 91710-000;3771
1387510;873,61;11;R.. Um rua Jorge Luiz m Domingues, 170, Cel ap Borges, 91510-;170
1390040;30,08;12;R.. Jose de Alencar, 731, Menino Deus, 90880-481;731
1411373;1.215,73;12;R.. Dona Otilia, 34, Santa Tereza, 90830-580;34
1433172;426,43;12;Av.. Dr Enio Amoretty Gomes, 73, Santa Tereza, 90840-620;73
1435221;4,05;13;R.. Orfanotrofio, 336, Nonoai, 90840-440;336
1441892;206,64;13;Av.. Nonoai, 355, Nonoai, 91720-000;355
1475908;1.733,54;13;Av.. Nonoai, 1553, Nonoai, 91720-000;1553
1515470;409,61;13;R.. Dr Barcelos, 2675, Cavalhada, 91910-251;2675
1573624;843,38;13;Av.. da Cavalhada, 3478, Cavalhada, 91740-000;3478
1578553;364,41;13;Av.. Vicente Monteggia, 955, Cavalhada, 91740-290;955
1586858;519,80;13;R.. Dr Armando Barbedo, 986, Tristeza, 91920-520;986
1591231;30,55;14;Av.. Wenceslau Escobar, 3196, Tristeza, 91920-134;3196
