Ramal;Data;Divida data Solicitacao
2;Thu Jun 16 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3056791;Fri Jun 17 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1367692;Fri Jun 17 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1530135;Fri Jun 17 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1;Fri Jun 17 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
0;Sat Jun 18 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2946629;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2990903;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3717054;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3679870;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3367444;Sun Jun 19 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
303852;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3714950;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
559190;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2277980;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2466473;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
472824;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
387380;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2993155;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1978276;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2939525;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2421070;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
518786;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1191560;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1777998;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1457616;Mon Jun 20 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3237451;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3849163;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1500112;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3386929;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
960756;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
530050;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3625532;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3748421;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3846814;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
5;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1815210;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2575795;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
638307;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
293865;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3250016;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
537179;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3626482;Tue Jun 21 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3029255;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2562413;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3626202;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1686550;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1365177;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
654850;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
949477;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2747570;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
665150;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
647900;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2529963;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1046993;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2490412;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
723410;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
952648;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1843257;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
387428;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1858866;Wed Jun 22 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3679713;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
2177536;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
714003;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
656828;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1504100;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1555103;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1790587;Thu Jun 23 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1555103;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
481866;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1626329;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
609650;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
324116;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
363731;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
1097270;Fri Jun 24 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3846504;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
6;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
647900;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3818950;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3126005;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3412946;Sun Jun 26 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3770150;Mon Jun 27 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
3434516;Mon Jun 27 2022 00:00:00 GMT-0300 (Brasilia Standard Time);checar
